Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C
Syringe Pump,Pro723,Mindray,v9.8,2019-05-05,Class III,IVDR-939461,Pediatric (2-18),Intended for symptom relief therapy in intensive care unit environments for critically ill patients.,Avoid use in patients with peripheral vascular disease or severe peripheral vascular disease.,Dry Heat,10,9,7,3.86,26
Blood Pressure Monitor,C-1779,Thermo Fisher Scientific,Version 10,2017-12-15,Class I,TGA-830660,Neonatal,Designed for symptom relief assistance in geriatric care facilities for elderly patients.,Not recommended for patients with malignant hyperthermia or severe epilepsy.,Ethylene Oxide (EtO),8,19,8,7.87,25
Nebulizer,Z-2919,Zimmer Biomet,2020-12-M,2017-01-21,Class III,PMA716782,Infant (0-2),Designed for medication administration facilitation in telemedicine and remote patient monitoring.,Contraindicated in presence of radio frequencies or MRI environments exposure.,Autoclave,6,7,12,2.65,25
Wound Care System,Pro185,Hologic,v8.6,2021-10-25,Class IIb,BLA862855,Adult and Pediatric,Intended for calibration guidance during minimally invasive vascular procedures.,Contraindicated in presence of iodine compounds or during radiation therapy.,Gamma Irradiation,10,9,10,1.49,34
Electrosurgical Unit,Max410,Hologic,Version 18,2020-06-14,Class II,UKCA38455,Adult (>65),Designed for perioperative pH levels management during endoscopic interventions.,Do not use in patients with pregnancy or severe pregnancy.,Gamma Irradiation,9,26,15,10.41,23
Insulin Pump,COO587,,Rev. 2.0,2015-02-18,Class IIb,IVDR-292270,Neonatal,Intended for alarm management guidance during minimally invasive endoscopic procedures.,,UV Sterilization,6,14,9,3.57,36
Catheter,Model 1029,Mölnlycke Health Care,Rev. 8.1,2023-06-22,Class I,IDE582754,All,Indicated for diagnostic device maintenance to assess neurological disorders in clinical environments.,Avoid use if patient has epilepsy or history of blood clots.,Ethylene Oxide (EtO),2,9,15,1.05,15
Digital Thermometer,ALI528,Align Technology,Rev. 1.7,2016-10-16,Class III,HC-215411,Pediatric (2-18),Intended for quality control guidance during minimally invasive cardiac procedures.,Avoid use in patients with thrombocytopenia or altered consciousness.,Not Applicable,6,9,5,0.41,32
Defibrillator,C-2443,Steris,Version 10,2020-08-26,Class III,IDE757665,Adult (18-65),Indicated for continuous heart rate monitoring during transplant surgical procedures.,Do not use if patient has known allergy to conductive gels or hypersensitivity to flammable anesthetics.,Steam Sterilization,13,16,10,9.02,14
ECG Machine,Model 9808,Mindray,2024-01-C,2019-02-12,Class III,PMA770378,Adult (18-65),Intended for mobility restoration therapy in intensive care unit environments for critically ill patients.,Contraindicated in patients with hepatic dysfunction or unable to follow instructions.,Single-Use Sterile,3,12,12,5.97,24
Insulin Pump,A-8363,Medtronic,Version 2,2021-10-15,Class II,CE8662,Adult and Pediatric,Indicated for blood gas analysis surveillance in infection control protocols.,Not suitable for use with antiseptics or in oxygen-rich environments.,Dry Heat,11,9,8,4.93,10
Surgical Robot,Plus960,Zeiss Medical Technology,Rev. 7.6,2024-01-18,Class I,HDE721472,Adult (>65),Designed for surgical assistance in patients with hypertension under medical supervision.,Do not use in combination with antiseptics or dialysis modalities.,Dry Heat,14,26,5,18.83,19
Orthopedic Implant,Pro355,Smith & Nephew,2023-08-Q,2024-08-04,Class I,,Adult (18-65),Designed for perioperative blood pressure management during gastroenterological interventions.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Dry Heat,5,4,,0.09,39
Blood Glucose Monitor,GET527,Getinge,Rev. 3.8,2023-12-04,Class III,D760158,Adult (>65),Indicated for cardiac output analysis in laboratory diagnostic testing environments.,Do not use in patients with epilepsy or severe metal implants.,UV Sterilization,11,12,,0.31,17
Blood Pressure Monitor,B-1207,Mindray,Rev. 7.1,2020-07-11,Class III,TGA-972388,Pediatric,Indicated for pH levels analysis in laboratory diagnostic testing environments.,Contraindicated in patients with severe anemia or unable to follow instructions.,Chemical Sterilization,15,14,8,3.6,15
Anesthesia Machine,HOY254,Hoya Corporation,Version 16,2016-05-11,Class III,IDE867262,Geriatric,Used for long-term fluid resuscitation delivery in ambulatory care settings for sepsis patients.,Contraindicated in patients with severe peripheral vascular disease or uncontrolled pregnancy.,Gamma Irradiation,25,30,15,139.4,10
X-Ray Machine,MIN305,Mindray,Version 20,2019-02-01,Class II,PMA171173,Adult (>65),Designed for perioperative vital signs management during ophthalmic interventions.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Pre-Sterilized,8,12,12,11.27,32
CPAP Machine,Model 9426,IDEXX Laboratories,v2.6,2022-03-05,Class III,HDE430305,Adult and Pediatric,Indicated for routine quality control screening in outpatient clinical facilities.,Do not use if patient has known allergy to antiseptics or hypersensitivity to bronchodilators.,UV Sterilization,3,9,5,13.69,15
Anesthesia Machine,Model 5662,,2021-07-Q,2020-06-15,Class IIa,D720981,Pediatric (2-18),Used for pain management guidance in oncology treatment centers for cancer patients.,Avoid use in patients with severe anemia or severe active infections.,Dry Heat,17,25,9,61.38,28
Blood Glucose Monitor,C-6552,Dexcom,Rev. 3.5,2021-12-28,Class III,HC-476254,Pediatric,Designed for infection control assistance in geriatric care facilities for elderly patients.,,Single-Use Sterile,11,16,5,0.46,17
Stent,Model 3498,Getinge,Rev. 7.5,2023-04-19,Class IIa,HDE427097,Adult (>65),Designed for tissue regeneration in patients with orthopedic injuries under medical supervision.,Avoid use in patients with dental implants or artificial joints. Not suitable for aircraft cabins.,,3,14,13,0.04,41
Dialysis Machine,MIN353,Mindray,Version 17,2022-03-13,Class II,UKCA46658,Pediatric,Used for emergency surgical intervention in acute stroke situations requiring immediate care.,Do not use during general anesthesia administration or in comatose.,Ethylene Oxide (EtO),12,14,17,143.26,35
X-Ray Machine,CAR981,Cardinal Health,v4.3,2019-01-07,Class IIa,Q735037,Neonatal,Intended for wound care evaluation in rehabilitation medicine for stroke recovery.,"Not recommended during pregnancy, lactation, or in mentally impaired under 14 years.",UV Sterilization,8,9,5,2.04,39
Syringe Pump,C-6155,Waters Corporation,2023-03-V,2020-11-23,Class IIb,PMA977115,Geriatric,Indicated for heart rate surveillance in infection control protocols.,Not recommended for use in diabetic patients or those with severe cardiac arrhythmias.,Pre-Sterilized,11,13,12,4.34,16
Pacemaker,SMI381,Smith & Nephew,Rev. 8.2,2017-06-16,Class III,NDA536453,Neonatal,Intended for device maintenance verification in quality assurance and device validation protocols.,Contraindicated in patients with severe pacemakers or uncontrolled peripheral vascular disease.,,6,10,13,0.18,40
Digital Thermometer,Model 5913,Stryker,Version 3,2024-04-10,Class I,K830269,All,Intended for diagnostic assessment therapy in intensive care unit environments for critically ill patients.,Contraindicated in patients with cardiomyopathy or on iodine compounds.,,3,4,4,0.26,21
Infusion Pump,Pro455,B. Braun,2022-09-M,2019-11-14,Class IIa,HDE180844,Pediatric,Used for respiratory support administration in pediatric hospital units under specialist supervision.,Contraindicated in presence of alcohol-based solutions or during radiation therapy.,Not Applicable,13,20,8,6.94,25
Digital Thermometer,C-2939,Hologic,Version 7,2022-05-10,Class II,H104961,All,Used for post-operative pain management management in hospital recovery units.,Avoid use in patients with autoimmune disorders or altered consciousness.,Autoclave,7,3,5,0.29,20
Syringe Pump,A-4656,Danaher,Version 15,2023-07-11,Class II,PMA518265,Neonatal,Intended for infection prevention verification in quality assurance and device validation protocols.,Do not use if sensor failure is detected or routine maintenance has expired.,Single-Use Sterile,14,11,6,1.83,11
Pacemaker,Model 8565,Philips Healthcare,2022-02-H,2022-01-29,Class III,IDE798200,Geriatric,Used for pain management guidance in oncology treatment centers for cancer patients.,Not recommended in presence of immunodeficiency or at open wounds locations.,Ethylene Oxide (EtO),4,14,13,0.19,38
Defibrillator,X-3382,GE Healthcare,v1.9,2024-12-12,Class IIa,,Adult,Designed for home-based cardiac therapy in stable terminally ill patients with chronic respiratory conditions.,Contraindicated in patients with stroke or unable to remain still.,,16,25,8,15.8,17
Ultrasound Scanner,MÖL171,Mölnlycke Health Care,Version 15,2025-07-03,Class IIb,IDE747955,Infant (0-2),Intended for diagnostic assessment evaluation in rehabilitation medicine for cardiac disorders recovery.,Avoid use if patient has respiratory failure or is receiving alcohol-based solutions.,Gamma Irradiation,7,10,4,7.26,34
Blood Pressure Monitor,Pro789,Coloplast,v6.0,2016-05-13,Class IIb,HDE950077,Pediatric,Indicated for intracranial pressure analysis in laboratory diagnostic testing environments.,Contraindicated in patients with uncontrolled seizures or on contrast agents.,Single-Use Sterile,8,11,10,2.93,28
Blood Pressure Monitor,Model 4037,,Version 10,2015-08-01,Class II,MDR-495690,Adult (18-65),Intended for catheterization delivery in palliative care settings for terminal patients.,Contraindicated in patients with severe peripheral vascular disease or uncontrolled peripheral vascular disease.,Chemical Sterilization,14,8,5,4.23,28
Orthopedic Implant,Z-5479,Aesculap,v4.6,2017-07-19,Class IIa,H460198,Adult (>65),Designed for tissue biopsy facilitation in telemedicine and remote patient monitoring.,Contraindicated in patients with epilepsy or severe stroke.,Ethylene Oxide (EtO),3,14,21,0.07,37
Insulin Pump,ROC310,Roche,2024-01-Y,2016-10-12,Class III,CE1333,Adult,Indicated for hemoglobin levels optimization in sleep medicine centers for respiratory disorders.,Not suitable for use during shortwave diathermy or CT scan.,Autoclave,9,8,12,,14
Stent,Model 6050,Align Technology,v8.6,2022-04-15,Class II,BLA953813,Adult,Indicated for glucose levels optimization in sleep medicine centers for respiratory disorders.,Avoid use if patient has skin allergies or history of blood clots.,Gamma Irradiation,3,10,14,0.11,42
Pacemaker,C-2210,Coloplast,v9.5,2020-09-02,Class IIb,IDE347957,Adult and Pediatric,Used for pain management guidance in oncology treatment centers for cancer patients.,Contraindicated in patients with pacemakers or burns risk.,Autoclave,4,15,25,0.15,40
Infusion Pump,Pro251,Steris,2022-03-H,2016-05-13,Class I,IDE325299,Adult (>65),Indicated for routine sterilization screening in outpatient clinical facilities.,Avoid use in patients with neurostimulators or gastric bands. Not suitable for oxygen-rich environments.,Ethylene Oxide (EtO),5,9,6,3.12,27
CPAP Machine,COO685,Cooper Companies,2023-07-W,2015-11-06,Class II,NMPA-912544,Pediatric (2-18),Intended for data analysis verification in quality assurance and device validation protocols.,Contraindicated in presence of latex proteins or during electromagnetic therapy.,Steam Sterilization,7,14,4,4.71,38
Surgical Drill,B-8685,BioMérieux,Rev. 9.0,2021-01-30,Class I,NMPA-422855,Pediatric,Used for therapeutic radiation therapy in organ transplant patients requiring catheterization.,Do not use if battery depletion is detected or routine maintenance has expired.,Ethylene Oxide (EtO),18,12,9,4.52,16
Wound Care System,Model 6289,Mölnlycke Health Care,v3.8,2023-08-06,Class I,MDR-157831,Neonatal,Designed for home-based wound irrigation in stable sedated patients with chronic stroke.,Do not use during general anesthesia administration or in sedated.,Autoclave,7,4,12,11.35,10
Surgical Drill,PHI237,Philips Healthcare,2022-04-O,2017-02-23,Class IIa,H640836,Adult (18-65),Indicated for continuous central venous pressure monitoring during reconstructive surgical procedures.,Do not use if structural defects is present or wound is infected.,,23,28,13,5.04,23
Orthopedic Implant,X-9550,Stryker,v1.7,2024-11-15,Class I,P154751,Geriatric,Used for intraoperative monitoring monitoring during complex neurological surgeries.,Contraindicated in patients with malignant hyperthermia or severe stroke.,Steam Sterilization,4,15,9,0.2,40
CPAP Machine,Max195,Siemens Healthineers,Version 15,2019-09-26,Class IIb,K129166,Pediatric (2-18),Designed for pacemaker implantation facilitation in telemedicine and remote patient monitoring.,Do not use if malformations is present or incision is infected.,Gamma Irradiation,5,6,3,1.94,10
Blood Glucose Monitor,Model 5039,Getinge,v8.8,2016-06-05,Class IIb,PMA517501,Adult (>65),Used for radiation therapy guidance in oncology treatment centers for cancer patients.,Avoid use in patients with epilepsy or uncontrolled autoimmune disorders.,Single-Use Sterile,15,13,7,0.12,20
Blood Pressure Monitor,Model 2894,Johnson & Johnson,2021-09-I,2024-10-26,Class I,PMA460656,Geriatric,Used for intraoperative measurement monitoring during complex endoscopic surgeries.,Do not use if battery depletion is detected or quality control has expired.,UV Sterilization,6,10,10,,33
X-Ray Machine,Z-8039,Siemens Healthineers,Rev. 5.4,2018-05-30,Class I,HDE868555,All,Designed for wound debridement support in neonatal intensive care environments.,Avoid use in patients with peripheral vascular disease or altered consciousness.,UV Sterilization,8,5,15,,15
Syringe Pump,COO733,Cooper Companies,Version 18,2021-02-18,Class III,BLA264769,Adult (>65),Indicated for pulmonary function analysis in laboratory diagnostic testing environments.,Avoid use in patients with active pregnancy or compromised nervous function.,Chemical Sterilization,13,14,,3.81,34
Insulin Pump,X-8449,Mölnlycke Health Care,v13.9,2022-11-01,Class I,Q804693,All,Indicated for blood pressure optimization in sleep medicine centers for respiratory disorders.,Do not use if malformations is present or incision is infected.,Steam Sterilization,8,9,5,4.68,23
Defibrillator,Model 1108,Aesculap,v4.1,2020-12-23,Class III,CE5382,Geriatric,Indicated for real-time cardiac output assessment in emergency department triage protocols.,Do not use if battery depletion is detected or quality control has expired.,Autoclave,13,14,7,12.03,38
X-Ray Machine,C-5449,Roche,Rev. 5.6,2021-02-24,Class II,UKCA54643,All,Intended for infection control evaluation in rehabilitation medicine for hypertension recovery.,Do not use if sensor failure is detected or routine maintenance has expired.,Dry Heat,10,14,6,19.75,34
Insulin Pump,MED880,Medtronic,Version 3,2017-05-02,Class II,PMA299651,Adult (18-65),Indicated for vital signs optimization in sleep medicine centers for respiratory disorders.,Not suitable for use during cryotherapy or CT scan.,Single-Use Sterile,13,11,8,3.37,38
Syringe Pump,Plus876,Cooper Companies,Rev. 3.5,2016-09-26,Class II,CE9863,All,Used for intraoperative calibration monitoring during complex minimally invasive surgeries.,,Steam Sterilization,8,15,,2.32,39
Syringe Pump,Model 2525,Hoya Corporation,Rev. 9.9,2017-01-06,Class I,H620856,Adult and Pediatric,Used for drug delivery administration in pediatric hospital units under specialist supervision.,Not recommended in presence of acute myocardial infarction or at open wounds locations.,Autoclave,11,14,9,2.96,28
Blood Pressure Monitor,Z-7646,Edwards Lifesciences,2023-10-Y,2025-12-26,Class I,H776882,Adult and Pediatric,Designed for emergency resuscitation in patients with infectious diseases under medical supervision.,Do not use if battery depletion is detected or quality control has expired.,Gamma Irradiation,14,16,11,2.91,25
Blood Glucose Monitor,JOH827,Johnson & Johnson,Version 18,2019-08-07,Class IIb,K371596,Adult (18-65),Designed for radiation therapy optimization in chronic disease management programs.,Avoid use in patients with breast implants or mesh implants. Not suitable for storage conditions.,Ethylene Oxide (EtO),7,18,5,0.13,18
X-Ray Machine,Z-4252,Steris,Rev. 6.0,2022-02-12,Class I,H992240,All,Used for pain management guidance in oncology treatment centers for cancer patients.,Not suitable for use in electromagnetic interference zones with explosion or during patient transport.,Hydrogen Peroxide Plasma,10,8,13,17.66,10
Surgical Robot,Model 1877,Johnson & Johnson,Version 18,2022-08-15,Class I,MDR-409378,Adult and Pediatric,Designed for hemodialysis facilitation in telemedicine and remote patient monitoring.,Contraindicated in patients with immunodeficiency or severe severe hypertension.,Dry Heat,22,19,15,16.48,25
Defibrillator,A-7756,B. Braun,2021-03-V,2017-01-03,Class III,TGA-742210,Adult (18-65),Intended for alarm management guidance during minimally invasive reconstructive procedures.,Do not use during general anesthesia administration or in comatose.,Dry Heat,17,27,12,9.7,29
Orthopedic Implant,Model 8176,Dentsply Sirona,2020-09-V,2023-05-09,Class I,H858299,Adult (18-65),Intended for monitoring and measuring pulmonary function in critically ill patients in hospital and clinical settings.,Avoid use if patient has malignant hyperthermia or history of blood clots.,Gamma Irradiation,7,6,10,0.1,37
Blood Pressure Monitor,Model 4409,Hologic,Version 3,2020-06-04,Class II,Q559048,Adult,Designed for perioperative blood pressure management during vascular interventions.,Avoid use in patients with metal implants or severe uncontrolled seizures.,Chemical Sterilization,9,9,,5.56,25
Blood Pressure Monitor,Model 1310,Mindray,Version 16,2017-06-03,Class IIa,Q511695,Adult and Pediatric,Used for electrotherapy administration in pediatric hospital units under specialist supervision.,Contraindicated in patients with epilepsy or unable to follow instructions.,Autoclave,9,17,7,4.86,13
ECG Machine,Pro259,Waters Corporation,2024-10-F,2015-08-12,Class IIb,HDE387394,Geriatric,Intended for calibration support in cardiac catheterization laboratory environments.,,Single-Use Sterile,10,10,10,14.06,40
Blood Glucose Monitor,Model 6274,BioMérieux,2024-09-F,2021-07-29,Class III,CE9822,Pediatric (2-18),Designed for perioperative temperature management during orthopedic interventions.,Contraindicated in patients with pacemakers or burns risk.,Chemical Sterilization,12,17,5,0.4,24
X-Ray Machine,BOS336,Boston Scientific,v6.5,2022-12-12,Class IIb,,Pediatric (2-18),Used for long-term respiratory support delivery in ambulatory care settings for chronic conditions patients.,Avoid use in patients with stroke or uncontrolled coagulopathy.,,9,15,13,3.4,11
Nebulizer,Model 8553,Karl Storz,v12.2,2019-09-04,Class I,,Adult (18-65),Indicated for glucose levels surveillance in infection control protocols.,Contraindicated in patients with metal implants or on petroleum products.,,5,3,7,1.16,16
Insulin Pump,Pro976,Beckman Coulter,Version 8,2021-05-04,Class IIb,NDA144676,Adult,Used for intraoperative assessment monitoring during complex neurological surgeries.,Contraindicated in patients with severe hypertension or unable to remain still.,Gamma Irradiation,5,17,6,,22
Catheter,Model 6871,Dentsply Sirona,Rev. 2.2,2018-06-18,Class III,NDA986475,Adult and Pediatric,Indicated for continuous pH levels monitoring during reconstructive surgical procedures.,Avoid use in patients with active autoimmune disorders or compromised cardiovascular function.,Single-Use Sterile,6,12,14,10.84,16
Surgical Drill,X-9390,Olympus Corporation,v11.7,2017-05-07,Class III,CE5866,Adult (18-65),Indicated for diagnostic infection prevention to assess orthopedic injuries in clinical environments.,Avoid use in patients with skin allergies or severe severe anemia.,,8,21,7,14.67,33
Defibrillator,Z-8854,Danaher,Version 5,2025-01-01,Class IIb,NDA828157,All,Used for post-operative respiratory support management in hospital recovery units.,Do not use if patient has known allergy to conductive gels or hypersensitivity to chemotherapy drugs.,UV Sterilization,11,25,14,19.66,22
X-Ray Machine,SYN654,Synthes,Rev. 5.5,2020-10-05,Class I,PMA989224,Neonatal,Indicated for continuous vital signs monitoring during emergency surgical procedures.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,UV Sterilization,4,8,8,7.74,14
Pacemaker,B-1398,Richard Wolf,Version 7,2017-03-27,Class IIa,UKCA88687,Adult (18-65),Designed for symptom relief assistance in geriatric care facilities for elderly patients.,Do not use in combination with certain medications or respiratory support modalities.,,2,15,16,0.09,39
Defibrillator,Z-1141,Align Technology,Version 1,2024-03-01,Class I,HC-196960,Neonatal,Intended for preventive screening evaluation in rehabilitation medicine for chronic conditions recovery.,,Gamma Irradiation,15,24,13,1.57,37
CPAP Machine,ALI923,Align Technology,Version 18,2022-04-09,Class IIa,HDE743624,Pediatric,Designed for dialysis optimization in chronic disease management programs.,Not suitable for use with petroleum products or in fire hazard zones.,Chemical Sterilization,3,4,4,19.49,12
X-Ray Machine,JOH813,Johnson & Johnson,Rev. 5.6,2017-11-15,Class IIa,Q596188,Pediatric,Used for therapeutic fluid resuscitation in radiation therapy patients requiring joint replacement.,,Hydrogen Peroxide Plasma,10,10,11,15.83,28
Anesthesia Machine,TER945,Terumo,v15.8,2022-07-26,Class III,TGA-972019,Adult (>65),Intended for infection control therapy in intensive care unit environments for critically ill patients.,Contraindicated in patients with uncontrolled seizures or burns risk.,Chemical Sterilization,14,21,10,48.27,37
Syringe Pump,Max636,Fresenius Medical Care,Version 14,2022-12-23,Class IIa,H128543,Pediatric,Designed for home-based radiation therapy in stable pregnant patients with chronic neurological disorders.,"Not recommended during pregnancy, lactation, or in morbidly obese under 15 years.",Not Applicable,10,10,9,7.71,38
Pulse Oximeter,B-4437,Align Technology,Rev. 2.9,2016-05-13,Class II,D477706,All,Indicated for continuous heart rate monitoring during thoracic surgical procedures.,Contraindicated in patients with severe pacemakers or uncontrolled active infections.,Ethylene Oxide (EtO),7,4,3,,
Ventilator,Model 4188,Beckman Coulter,2025-05-B,2024-12-14,Class III,K239094,Pediatric (2-18),Used for drug delivery administration in pediatric hospital units under specialist supervision.,Avoid use in patients with spinal implants or penile implants. Not suitable for aircraft cabins.,Gamma Irradiation,9,18,15,92.99,38
Catheter,Model 5029,Zeiss Medical Technology,Rev. 7.8,2015-10-21,Class IIa,Q420158,Infant (0-2),Used for long-term pain management delivery in ambulatory care settings for respiratory conditions patients.,Avoid use in patients with severe hypertension or altered cognitive function.,,10,12,13,18.32,24
Ventilator,A-8533,Zimmer Biomet,2023-06-K,2020-12-17,Class IIa,,Neonatal,Intended for stent placement delivery in palliative care settings for terminal patients.,Avoid use in patients with respiratory failure or severe stroke.,UV Sterilization,17,17,20,91.65,8
Syringe Pump,Max103,Intuitive Surgical,Rev. 2.1,2020-05-04,Class I,NMPA-362087,Pediatric (2-18),Indicated for real-time temperature assessment in emergency department triage protocols.,Avoid use if patient has pregnancy or is receiving flammable anesthetics.,Pre-Sterilized,12,14,5,6.34,40
Nebulizer,C-7810,Thermo Fisher Scientific,2020-04-C,2017-07-19,Class IIa,Q813065,Neonatal,Designed for perioperative oxygen saturation management during transplant interventions.,Contraindicated in patients with severe cardiac arrhythmias or on conductive gels.,Chemical Sterilization,2,6,5,7.27,32
X-Ray Machine,C-4585,Stryker,v13.0,2019-12-16,Class II,IDE781363,Geriatric,Indicated for routine measurement screening in outpatient clinical facilities.,Avoid use in patients with active malignant hyperthermia or compromised respiratory function.,Pre-Sterilized,7,7,6,19.61,40
Catheter,Pro618,Olympus Corporation,2021-01-E,2022-11-22,Class IIb,PMDA-748802,Pediatric,Intended for therapeutic delivery evaluation in rehabilitation medicine for trauma recovery.,Not suitable for use with flammable anesthetics or in emergency situations.,Pre-Sterilized,8,4,4,15.63,32
Dialysis Machine,Model 3312,Coloplast,2021-08-X,2017-02-10,Class III,H302518,Adult and Pediatric,Used for emergency mechanical ventilation in acute diabetes situations requiring immediate care.,Avoid use in patients with severe anemia or altered cognitive function.,Steam Sterilization,8,20,19,125.91,15
Pacemaker,EDW665,Edwards Lifesciences,Rev. 4.9,2025-12-21,Class I,K169391,Pediatric (2-18),Intended for surgical ophthalmic procedures in operating room settings.,Avoid use in patients with immunodeficiency or altered consciousness.,Hydrogen Peroxide Plasma,5,4,8,0.13,38
Ventilator,Plus505,Olympus Corporation,v10.8,2020-07-19,Class IIb,IDE752346,All,Indicated for respiratory rate surveillance in infection control protocols.,Contraindicated in patients with metal implants or burns risk.,Pre-Sterilized,11,20,9,57.13,30
Ventilator,GE 115,GE Healthcare,v12.1,2021-12-30,Class II,D484602,Neonatal,Used for chemotherapy guidance in oncology treatment centers for cancer patients.,Avoid use in patients with severe anemia or uncontrolled pacemakers.,UV Sterilization,11,27,13,64.77,22
Infusion Pump,Plus695,BioMérieux,Version 15,2024-05-24,Class IIb,IDE147211,Infant (0-2),Indicated for respiratory rate analysis in laboratory diagnostic testing environments.,,Autoclave,10,14,10,5.99,31
Blood Pressure Monitor,Max208,Hologic,2025-08-Q,2015-01-25,Class I,IDE548208,Adult (18-65),Designed for mobility restoration assistance in geriatric care facilities for elderly patients.,Contraindicated in presence of antibiotics or during cryotherapy.,Pre-Sterilized,13,16,8,1.64,34
Electrosurgical Unit,Z-7589,IDEXX Laboratories,Version 9,2017-10-31,Class III,HC-315495,Infant (0-2),Intended for infection prevention guidance during minimally invasive reconstructive procedures.,Avoid use in patients with skin allergies or altered cognitive function.,Steam Sterilization,20,29,3,5.76,38
Ventilator,Plus117,Smith & Nephew,Version 4,2020-12-13,Class III,UKCA37047,Adult (18-65),Designed for defibrillation facilitation in telemedicine and remote patient monitoring.,Not suitable for use in electromagnetic interference zones with radiation or during training scenarios.,Steam Sterilization,22,13,14,40.19,18
Surgical Robot,Plus229,Cooper Companies,Version 14,2024-05-02,Class I,PMA677312,Pediatric,Designed for intubation facilitation in telemedicine and remote patient monitoring.,Avoid use in patients with renal insufficiency or uncontrolled cardiomyopathy.,UV Sterilization,10,21,5,3.44,39
Nebulizer,AES532,Aesculap,Rev. 4.3,2024-09-14,Class I,NMPA-552112,Adult and Pediatric,Intended for defibrillation delivery in palliative care settings for terminal patients.,Avoid use if patient has severe anemia or is receiving metallic particles.,Steam Sterilization,4,7,11,4.26,35
Blood Pressure Monitor,ALC428,Alcon,v3.4,2019-12-22,Class IIa,BLA901665,Adult and Pediatric,Indicated for emergency oxygen saturation stabilization in trauma center resuscitation rooms.,Contraindicated in patients with renal insufficiency or frostbite risk.,Autoclave,8,8,12,4.89,25
CPAP Machine,Model 4055,IDEXX Laboratories,Version 12,2025-05-28,Class III,MDR-957005,Infant (0-2),Designed for blood transfusion facilitation in telemedicine and remote patient monitoring.,Avoid use in patients with spinal implants or penile implants. Not suitable for high altitude conditions.,Pre-Sterilized,9,8,15,4.94,37
Blood Glucose Monitor,Model 4275,Olympus Corporation,v15.2,2017-04-12,Class III,BLA601894,Adult (>65),Indicated for real-time vital signs assessment in emergency department triage protocols.,Not recommended for patients with malignant hyperthermia or severe severe anemia.,Not Applicable,12,11,3,0.23,23
Electrosurgical Unit,Plus463,Sonova,Rev. 10.8,2021-04-14,Class III,Q151354,Neonatal,Designed for continuous monitoring in patients with orthopedic injuries under medical supervision.,Contraindicated in patients with active infections or severe skin allergies.,Single-Use Sterile,18,16,7,11.67,15
Pulse Oximeter,Max130,Fresenius Medical Care,v2.4,2022-02-26,Class IIa,BLA463373,Pediatric (2-18),Designed for wound debridement support in neonatal intensive care environments.,Not recommended for patients with metal implants or severe pacemakers.,Ethylene Oxide (EtO),3,10,6,0.17,20
X-Ray Machine,BEC559,Becton Dickinson,Rev. 2.5,2016-09-17,Class III,K664220,Neonatal,Designed for stent placement support in neonatal intensive care environments.,Contraindicated in patients with metal implants or severe epilepsy.,Gamma Irradiation,4,7,12,4.08,10
Insulin Pump,Plus882,Johnson & Johnson,Rev. 7.3,2022-01-05,Class IIa,BLA930929,Pediatric,Designed for stent placement support in neonatal intensive care environments.,Not recommended for use in diabetic patients or those with bleeding disorders.,Ethylene Oxide (EtO),14,13,6,5.85,30
Digital Thermometer,BEC607,Beckman Coulter,2025-08-Q,2018-06-01,Class I,HC-208219,Pediatric (2-18),Used for intraoperative documentation monitoring during complex neurological surgeries.,Not recommended for use in hemodynamically unstable patients or those with pulmonary edema.,Autoclave,7,13,4,0.13,33
ECG Machine,Model 5529,Abbott,Version 19,2015-04-05,Class III,IDE294666,All,Indicated for routine device maintenance screening in outpatient clinical facilities.,Do not use if patient has known allergy to contrast agents or hypersensitivity to vasoconstrictors.,Pre-Sterilized,8,15,3,10.14,16
Digital Thermometer,Plus629,Intuitive Surgical,Version 19,2018-01-07,Class II,D912684,Adult,Designed for home-based compression therapy in stable terminally ill patients with chronic trauma.,,Single-Use Sterile,10,13,3,0.26,17
Syringe Pump,BEC245,Becton Dickinson,Rev. 4.4,2015-08-30,Class III,Q455166,Adult (>65),Intended for tissue regeneration evaluation in rehabilitation medicine for critical illness recovery.,Not suitable for use with vasoconstrictors or in infectious disease isolation.,Dry Heat,6,19,6,5.02,24
Syringe Pump,X-2470,Philips Healthcare,Rev. 5.7,2016-12-08,Class IIb,IDE820034,Adult (18-65),Intended for disease management evaluation in rehabilitation medicine for renal failure recovery.,Avoid use in patients with vascular stents or spinal implants. Not suitable for chemical exposure areas.,Chemical Sterilization,7,11,8,2.12,18
Ultrasound Scanner,Pro821,Cardinal Health,Version 19,2017-05-17,Class II,HDE349998,Adult and Pediatric,Indicated for glucose levels analysis in laboratory diagnostic testing environments.,Contraindicated in presence of magnetic materials or during electrical cardioversion.,Steam Sterilization,7,4,3,16.21,18
